Test ID,Cloud,Category,Component,Test Scenario,Preconditions,Test Steps,Expected Result,Priority,Automation Candidate,Result (Pass/Fail),P1: MvP,P2: Enhancements,P3: Hardening,Comments,Source TC ID,Requirement IDs,Gap Type,Existing Match,V1/V2 Scope,V1 ID
GAP-009,Cross-cloud / PRD-specific,Security,Reject mismatched provider annotations,Add missing PRD test: Reject mismatched provider annotations,Webhook enabled; service account exists,Apply cloud identity config with mismatched provider annotation,Webhook rejects object with provider-specific error,High,Yes,,,,,No negative test for mismatched cloud provider annotations.,TC-011,F-4;NFR-SEC-2,Missing,,V2,
GAP-010,Cross-cloud / PRD-specific,Security,GCP Workload Identity and Azure Managed Identity validation,Extend existing broad test: GCP Workload Identity and Azure Managed Identity validation,GKE and AKS test environments available,Run provider-specific identity backup smoke tests in GKE and AKS,Provider identity is accepted and backup job authenticates without static secrets,Medium,Partial,,,,,"Existing has cloud identity tests for Azure/GCP, but not the specific GCP Workload Identity and Azure Managed Identity validation detail.",TC-012,F-4,Partial,IAM/Workload identity integration,V1,V1-042
GAP-011,Cross-cloud / PRD-specific,Security,Cert-Manager certificate creates TLS secret and enables encrypted traffic,Extend existing broad test: Cert-Manager certificate creates TLS secret and enables encrypted traffic,cert-manager installed; Neo4jCluster applied,Inspect Certificate and Secret; connect over Bolt/HTTP TLS,Certificate Ready; client and inter-pod traffic use TLS; no plaintext endpoint accepted,Critical,Yes,,,,,"Existing covers TLS-enabled cluster, not Cert-Manager Certificate and Secret verification plus plaintext rejection.",TC-013,F-5;CW-7;NFR-SEC-3,Partial,TLS enabled cluster,V1,V1-039
GAP-012,Cross-cloud / PRD-specific,Security,External auth secret mounts and liveness probe validates auth,Add missing PRD test: External auth secret mounts and liveness probe validates auth,LDAP/Kerberos/SSO provider test config available,Apply external auth configuration and secret; inspect pod mounts and liveness probe results,Provider config secret mounted; auth probe passes; cluster Ready=True,Medium,Partial,,,,,No external auth provider config secret mount and liveness-auth probe test.,TC-015,F-6,Missing,,V2,
GAP-013,Cross-cloud / PRD-specific,Security,Invalid external auth config degrades cluster visibly,Add missing PRD test: Invalid external auth config degrades cluster visibly,External auth enabled,Apply invalid auth provider config,Liveness auth probe fails; Condition=Degraded or equivalent error Event set,Medium,Partial,,,,,No negative external auth degradation test.,TC-016,F-6,Missing,,V2,
GAP-014,Cross-cloud / PRD-specific,Networking,Headless and client services are created,Extend existing broad test: Headless and client services are created,Neo4jCluster Ready,Inspect Kubernetes services and endpoints after cluster creation,Headless and client services exist with healthy endpoints,Medium,Yes,,,,,"Existing covers cluster/networking broadly, not explicit headless and client Service endpoint checks.",TC-017,F-7,Partial,Cluster creation; Load balancer integration,V1,V1-033
GAP-015,Cross-cloud / PRD-specific,Networking,Optional ingress supports Bolt sticky sessions,Extend existing broad test: Optional ingress supports Bolt sticky sessions,Ingress controller available; ingress enabled in spec,Apply cluster with ingress enabled; connect multiple Bolt sessions through ingress,Ingress routes to service; Bolt sessions remain stable,Medium,Partial,,,,,"Existing covers networking broadly, not optional L7 ingress with Bolt sticky sessions.",TC-018,F-7,Partial,Load balancer integration; Private cluster networking,V1,V1-034
GAP-016,Cross-cloud / PRD-specific,Scaling,Reject invalid primary count,Add missing PRD test: Reject invalid primary count,Webhook enabled,Attempt to set primaries below 3 or to an even number,Admission rejects change with clear error,High,Yes,,,,,No invalid primary count rejection test.,TC-020,F-8;CW-3;F-12,Missing,,V1,V1-030
GAP-017,Cross-cloud / PRD-specific,Observability,Fatal controller error sets Degraded condition,Extend existing broad test: Fatal controller error sets Degraded condition,Fault injection available,Inject dependency failure in one controller path,Controller uses exponential backoff; Condition=Degraded for fatal error,High,Partial,,,,,"Existing covers health/alerts broadly, not fatal controller error with Condition=Degraded and exponential backoff evidence.",TC-022,F-9;NFR-REL-1,Partial,Health status updates; Alert generation,V1,V1-010
GAP-018,Cross-cloud / PRD-specific,Observability,"Prometheus metrics include operator, custom, and UI series","Extend existing broad test: Prometheus metrics include operator, custom, and UI series",Prometheus scraping enabled,Scrape metrics endpoint after normal cluster operations,"controller_runtime, neo4j custom, and ui_http_requests_total metrics available",Medium,Yes,,,,,"Existing covers metrics and Prometheus, not combined operator/custom/UI metric set.",TC-023,F-10;NFR-OBS-1,Partial,Metrics exposure; Prometheus scraping,V1,V1-048
GAP-019,Cross-cloud / PRD-specific,Observability,"OTEL spans include reconcile, Cypher, and proxy calls","Add missing PRD test: OTEL spans include reconcile, Cypher, and proxy calls",OTEL collector configured,"Run cluster reconcile, security change, and UI proxy request","Traces include reconcile, cypher.exec, and proxy.forward spans with trace IDs in logs",Medium,Partial,,,,,"No OpenTelemetry span coverage for reconcile, Cypher, and proxy calls.",TC-024,F-10;NFR-OBS-2,Missing,,V2,
GAP-020,Cross-cloud / PRD-specific,Security,Admin secret is configurable and mounted read-only,Add missing PRD test: Admin secret is configurable and mounted read-only,Admin secret exists,Set admin secret name in values/spec; inspect pod volume mount,Configured secret is mounted read-only; no writable credential mount,High,Yes,,,,,No admin secret configurability plus read-only mount verification.,TC-025,F-11;NFR-SEC-2,Missing,,V1-Hardening,
GAP-021,Cross-cloud / PRD-specific,Validation,Webhook latency remains under 500 ms,Add missing PRD test: Webhook latency remains under 500 ms,Webhook endpoint instrumented; load generator available,Submit valid and invalid admission requests under representative load,p95 admission latency below 500 ms,High,Partial,,,,,No webhook latency under 500 ms performance test.,TC-026,F-12,Missing,,V1-Hardening,
GAP-022,Cross-cloud / PRD-specific,Validation,Username regex and privilege grammar are enforced,Add missing PRD test: Username regex and privilege grammar are enforced,Webhook enabled,Apply invalid username and malformed GRANT statement,Both requests rejected with specific validation messages,High,Yes,,,,,No negative username regex and privilege grammar admission test.,TC-027,F-12;F-14;F-16,Missing,,V2,
GAP-023,Cross-cloud / PRD-specific,Security,Suspended user cannot authenticate,Add missing PRD test: Suspended user cannot authenticate,Existing user CR supports suspended field,Set suspended=true for user; attempt login,Login denied; user status reconciled,High,Partial,,,,,No suspended-user authentication denial test.,TC-030,F-14,Missing,,V2,
GAP-024,Cross-cloud / PRD-specific,Security,Duplicate role name is rejected,Add missing PRD test: Duplicate role name is rejected,Role already exists,Apply duplicate Neo4jRole with same target name,Webhook rejects duplicate or controller reports clear error,High,Yes,,,,,No duplicate role-name rejection test.,TC-032,F-15;CW-6,Missing,,V2,
GAP-025,Cross-cloud / PRD-specific,Security,"Neo4jGrant applies GRANT, DENY, and REVOKE statements","Extend existing broad test: Neo4jGrant applies GRANT, DENY, and REVOKE statements",User and Role exist,Apply Neo4jGrant statements with whenNotMatched policy,Statements applied; Ready=True; privilege graph updated if UI present,High,Partial,,,,,"Existing covers privilege reconciliation broadly, not explicit GRANT, DENY, and REVOKE statement handling.",TC-033,F-16;F-17;CW-6,Partial,Privilege reconciliation,V2,
GAP-026,Cross-cloud / PRD-specific,Security,whenNotMatched=error fails missing target,Add missing PRD test: whenNotMatched=error fails missing target,Cluster Ready,Apply Neo4jGrant pointing at absent user/role with whenNotMatched=error,Condition=Error or webhook reject; no unintended privilege created,High,Partial,,,,,No whenNotMatched=error missing-target test.,TC-034,F-16,Missing,,V2,
GAP-027,Cross-cloud / PRD-specific,Security,Security reconcile order is Roles to Grants to Users,Add missing PRD test: Security reconcile order is Roles to Grants to Users,"Apply dependent Role, Grant, User resources together",Observe controller execution and final state,Roles reconcile before Grants before Users; all Ready=True,High,Partial,,,,,"No explicit security reconcile order test: Roles, then Grants, then Users.",TC-035,F-17,Missing,,V2,
GAP-028,Cross-cloud / PRD-specific,Reliability,Re-applying identical security CRDs produces zero changes,Extend existing broad test: Re-applying identical security CRDs produces zero changes,Security CRDs Ready,Re-apply same manifests and compare resource versions/hash annotations/logs,No Cypher flapping; hash annotation prevents redundant execution,High,Yes,,,,,"Existing references reconciliation/idempotency broadly, but has no explicit zero-change re-apply/hash annotation test.",TC-036,F-18;NFR-REL-2,Partial,Config change reconciliation; Coverage Matrix says drift correction and idempotency,V1-Hardening,
GAP-029,Cross-cloud / PRD-specific,UI,UI cluster wizard generates valid YAML and submits cluster,Add missing PRD test: UI cluster wizard generates valid YAML and submits cluster,UI enabled; user authorized,Complete Cluster wizard and review generated YAML; submit,YAML is schema-valid; cluster resource created; status visible,Low,Partial,,,,,No UI cluster wizard/YAML generation test.,TC-037,F-19,Missing,,Out,
GAP-030,Cross-cloud / PRD-specific,UI,UI SSE streams live status updates,Add missing PRD test: UI SSE streams live status updates,UI enabled; cluster operation in progress,Open dashboard and perform backup or scale action,SSE stream updates status without full page refresh; metrics record latency,Low,Partial,,,,,No UI SSE live status stream test.,TC-038,F-19;F-24,Missing,,Out,
GAP-031,Cross-cloud / PRD-specific,UI,Namespace picker only lists authorized namespaces,Add missing PRD test: Namespace picker only lists authorized namespaces,Two users with different namespace permissions exist,Open UI as each user; compare namespace picker entries,Only namespaces allowed by SelfSubjectAccessReview are visible,Medium,Partial,,,,,No UI namespace picker authorization test using SelfSubjectAccessReview.,TC-039,F-20,Missing,,Out,
GAP-032,Cross-cloud / PRD-specific,Fleet,Prefix watch mode auto-onboards team namespace,Add missing PRD test: Prefix watch mode auto-onboards team namespace,Operator installed with watch prefix team-,Create namespace team-foo and apply cluster there,Namespace appears within 60 seconds; cluster reconciles correctly,Medium,Partial,,,,,No prefix watch-mode namespace auto-onboarding test.,TC-040,F-21;CW-8,Missing,,Out,
GAP-033,Cross-cloud / PRD-specific,Performance,Dynamic cache remains under memory target at 500 namespaces,Extend existing broad test: Dynamic cache remains under memory target at 500 namespaces,Scale test cluster can create 500 namespaces and 50 clusters,"Run fleet watch load test with CRDs, Certificates, StatefulSets, Jobs only",RSS at or below 200 MiB; no OOM; cache only watches expected resource kinds,High,Partial,,,,,"Existing covers operator memory broadly, not CRD-only dynamic cache at 500 namespaces and 50 clusters.",TC-042,F-22;NFR-PERF-2,Partial,Operator memory usage,Out,
GAP-034,Cross-cloud / PRD-specific,Security,"ClusterRole has no wildcard, escalate, or impersonate","Extend existing broad test: ClusterRole has no wildcard, escalate, or impersonate",Rendered Helm manifests available,Scan RBAC manifests for wildcard verbs/resources and forbidden verbs,No wildcard verbs; no escalate; no impersonate; per-namespace Role used for leader election,Critical,Yes,,,,,"Existing covers RBAC broadly, not static scan for no wildcard verbs, no escalate, and no impersonate.",TC-043,F-23;NFR-SEC-1,Partial,RBAC validation,V1,V1-006
GAP-035,Cross-cloud / PRD-specific,Security,Leader election uses namespaced Role,Add missing PRD test: Leader election uses namespaced Role,Operator installed,Inspect Role/RoleBinding and Lease access,Leader election resources are namespaced and least-privileged,High,Yes,,,,,No leader-election namespaced Role least-privilege test.,TC-044,F-23,Missing,,V1,V1-007
GAP-036,Cross-cloud / PRD-specific,UI,UI logs are structured and omit secrets,Add missing PRD test: UI logs are structured and omit secrets,UI enabled; logging captured,"Perform login, namespace selection, and wizard actions","Logs are structured; no token, password, or secret material appears",Low,Partial,,,,,No UI structured logging and secret-redaction test.,TC-045,F-24;NFR-OBS-2,Missing,,Out,
GAP-037,Cross-cloud / PRD-specific,Availability,Operator pod crash recovers reconcile within 15 seconds,Extend existing broad test: Operator pod crash recovers reconcile within 15 seconds,Leader election enabled; workload changing,Delete active operator pod during reconcile; measure handoff and reconciliation gap,Reconcile resumes within 15 seconds; no missed events,Critical,Partial,,,,,"Existing covers restart/crash recovery broadly, not reconcile resumption within 15 seconds.",TC-046,NFR-AV-1;CW-9,Partial,Operator restart recovery; Pod crash recovery,V1,V1-008
GAP-038,Cross-cloud / PRD-specific,Performance,Reconcile latency p95 below 1 second,Extend existing broad test: Reconcile latency p95 below 1 second,Metrics enabled; representative CRD update stream,Submit CRD updates and measure time to first controller action,p95 latency below 1 second,High,Partial,,,,,"Existing covers load broadly, not p95 reconcile latency below 1 second from CRD change to first action.",TC-047,NFR-PERF-1,Partial,Concurrent reconciles; Operator CPU usage,V1-Hardening,
GAP-039,Cross-cloud / PRD-specific,Performance,Backup throughput meets 150 MB/s target,Add missing PRD test: Backup throughput meets 150 MB/s target,Large dataset and object store available,Run backup streaming benchmark under normal network conditions,Sustained throughput at least 150 MB/s where network permits,Medium,Partial,,,,,No backup throughput benchmark at 150 MB/s.,TC-048,NFR-PERF-3,Missing,,V2,
GAP-040,Cross-cloud / PRD-specific,Reliability,Controller retries use exponential backoff capped at 5 minutes,Add missing PRD test: Controller retries use exponential backoff capped at 5 minutes,Fault injection available,Force repeated controller failure and inspect retry schedule,Backoff increases exponentially and does not exceed 5 minutes,High,Partial,,,,,No exponential backoff capped at 5 minutes test.,TC-050,NFR-REL-1,Missing,,V1,V1-009
GAP-041,Cross-cloud / PRD-specific,Maintainability,CRD conversion webhook preserves objects during operator upgrade,Extend existing broad test: CRD conversion webhook preserves objects during operator upgrade,Existing v1alpha2 objects; new CRD version available,Run Helm upgrade that changes CRD schema; inspect converted objects,No breaking field removals; previously Ready clusters remain Ready,High,Partial,,,,,"Existing covers CRD install and upgrade broadly, not conversion webhook preservation during schema upgrade.",TC-051,NFR-MAINT-1;CW-9,Partial,CRD installation; Upgrade operator version,V2,
GAP-042,Cross-cloud / PRD-specific,Maintainability,Helm chart SemVer policy is enforced,Add missing PRD test: Helm chart SemVer policy is enforced,Chart changes available in release branch,Compare chart version bump to values/schema changes,Breaking values change has major bump; non-breaking follows SemVer,Medium,Yes,,,,,No Helm chart SemVer policy test.,TC-052,NFR-MAINT-2,Missing,,V1-Hardening,
GAP-043,Cross-cloud / PRD-specific,UI,UI latency p95 below 300 ms under 50 req/s,Add missing PRD test: UI latency p95 below 300 ms under 50 req/s,UI enabled; load test tool available,Run 50 req/s against backed endpoints while normal operations run,p95 HTTP latency below 300 ms,Medium,Partial,,,,,No UI latency p95 below 300 ms under 50 req/s test.,TC-053,NFR-UX-1,Missing,,Out,
GAP-044,Cross-cloud / PRD-specific,UI,UI meets keyboard navigation and WCAG AA contrast,Add missing PRD test: UI meets keyboard navigation and WCAG AA contrast,UI build available,Run automated accessibility checks and keyboard-only smoke path,No critical WCAG 2.1 AA contrast or keyboard blockers,Medium,Partial,,,,,No UI accessibility and keyboard navigation test.,TC-054,NFR-UX-1,Missing,,Out,
GAP-045,Cross-cloud / PRD-specific,Portability,"Operator conformance across EKS, GKE, AKS, OpenShift","Extend existing broad test: Operator conformance across EKS, GKE, AKS, OpenShift",Target clusters available,"Run cluster provisioning, backup, upgrade, scale smoke tests on each distribution",All target distributions pass conformance smoke suite,High,Partial,,,,,"Existing covers AWS, Azure, and GCP, but not OpenShift and not conformance smoke acceptance across all distributions.",TC-055,NFR-PORT-1,Partial,AWS/Azure/GCP cloud matrix,OpenShift-deferred,
GAP-046,Cross-cloud / PRD-specific,Audit,Security changes produce one-year traceable evidence,Add missing PRD test: Security changes produce one-year traceable evidence,GitOps and UI change paths available,Make User/Role/Grant changes via Git and UI; collect Events and timeline,Events emitted; change traceable via Git history or UI timeline; retention policy covers at least one year,High,Partial,,,,,No one-year security audit-trail evidence test for User/Role/Grant changes.,TC-056,NFR-AUD-1;F-14;F-15;F-16,Missing,,V2,
GAP-047,Cross-cloud / PRD-specific,Documentation,"Release docs include CRD spec, Helm values, and UI guide","Add missing PRD test: Release docs include CRD spec, Helm values, and UI guide",Release candidate available,"Inspect published docs for API spec, Helm README value matrix, and UI guide",All required docs exist and match release version,Medium,Yes,,,,,"No release documentation completeness test for CRD spec, Helm values, and UI guide.",TC-057,NFR-DOC-1,Missing,,V1-Hardening,
GAP-048,Cross-cloud / PRD-specific,Workflow,Provisioning failure branches are visible,Add missing PRD test: Provisioning failure branches are visible,Ability to induce cert failure and quorum failure,"Create cluster with cert issuer failure, then with bad storage preventing quorum",Condition=Degraded and Events identify cert or quorum failure; UI red banner if UI enabled,High,Partial,,,,,No provisioning failure-branch visibility test for cert failure and quorum failure.,TC-058,CW-1,Missing,,V1,V1-049
GAP-049,Cross-cloud / PRD-specific,Fleet,Cache OOM guard alert fires above memory threshold,Extend existing broad test: Cache OOM guard alert fires above memory threshold,Fleet metrics and alerting configured,Simulate namespace growth or cache pressure above 200 MiB,Metric/alert fires before OOM; operator remains responsive,Medium,Partial,,,,,"Existing covers memory and alerts broadly, not cache OOM guard alert above 200 MiB.",TC-059,CW-8;F-22,Partial,Operator memory usage; Alert generation,Out,
GAP-050,Cross-cloud / PRD-specific,Upgrade,Leader election conflict recovers during operator upgrade,Extend existing broad test: Leader election conflict recovers during operator upgrade,Multiple operator replicas; Helm upgrade in progress,Induce lease conflict during upgrade by restarting pods,Kubernetes restarts affected pod; leader acquired; controllers resume without missed events,Critical,Partial,,,,,"Existing covers restart/upgrade broadly, not leader-election conflict recovery during upgrade.",TC-060,CW-9;NFR-AV-1,Partial,Operator restart recovery; Upgrade operator version.,V1-Hardening,
